YEAR,Month,Day,temperature,Humidity,Rainfall (mm/day),wind direction,CN,INFILTRATION,RUNOFF(mm/day),Runoff%,Dams
2019,1,1,11.4,5.68,0,181.25,79,0,0,0,0
2019,1,2,10.76,6.35,3.93,182.75,79,-213.3544304,0.279459644,7.11093241,0
2019,1,3,10.16,6.59,1.27,206.06,79,-213.3544304,0.259370561,20.42287884,0
2019,1,4,10.34,5.74,0,171.5,79,0,0,0,0
2019,1,5,10.05,5.43,0.52,199.12,79,-213.3544304,0.253819855,48.8115105,1
2019,1,6,9.89,5.74,11.81,219.88,79,-213.3544304,0.342919813,2.903639397,0
2019,1,7,9.33,5.62,6.65,209.25,79,-213.3544304,0.30067561,4.521437752,0
2019,1,8,9.78,5.86,18.26,210.94,79,-213.3544304,0.399747207,2.189196094,0
2019,1,9,8.6,5.49,11.43,248.44,79,-213.3544304,0.339715429,2.972138484,0
2019,1,10,8.85,5.19,0.34,115.94,79,-213.3544304,0.252494958,74.26322296,1
2019,1,11,9.3,4.76,0,114.38,79,0,0,0,0
2019,1,12,10.59,4.82,0,120.19,79,0,0,0,0
2019,1,13,9.2,5.37,0.68,204.38,79,-213.3544304,0.254999896,37.49998467,0
2019,1,14,10.28,6.9,5.4,210.25,79,-213.3544304,0.290838911,5.385905764,0
2019,1,15,9.3,5.49,0.01,186.69,79,-213.3544304,0.250073239,2500.732392,1
2019,1,16,8.51,5.37,29.67,212.25,79,-213.3544304,0.513006651,1.729041627,0
2019,1,17,9.71,5.8,5.54,281,79,-213.3544304,0.291933217,5.269552645,0
2019,1,18,9.51,5.37,0,207.44,79,0,0,0,0
2019,1,19,8.1,4.39,0,80.25,79,0,0,0,0
2019,1,20,9.35,5.13,0,103.75,79,0,0,0,0
2019,1,21,10.86,4.82,0,109.88,79,0,0,0,0
2019,1,22,11.24,5.68,0,195.56,79,0,0,0,0
2019,1,23,11.02,5.43,0,98.25,79,0,0,0,0
2019,1,24,12.28,5.98,0,170.44,79,0,0,0,0
2019,1,25,11.55,5.68,0,112.94,79,0,0,0,0
2019,1,26,13.51,5.92,0,147.56,79,0,0,0,0
2019,1,27,12.66,6.41,0,229.5,79,0,0,0,0
2019,1,28,9.24,6.47,5.69,236.12,79,-213.3544304,0.293107747,5.15127851,0
2019,1,29,12.82,6.59,0.1,178.94,79,-213.3544304,0.250732779,250.7327788,1
2019,1,30,12.65,5.19,0,180.44,79,0,0,0,0
2019,1,31,11.38,5.55,0,213.25,79,0,0,0,0
2019,2,1,11.3,5.98,0,228.81,79,0,0,0,0
2019,2,2,10.86,6.35,0,175.38,79,0,0,0,0
2019,2,3,11.8,5.31,0,84,79,0,0,0,0
2019,2,4,12.67,4.64,0,107.38,79,0,0,0,0
2019,2,5,14.75,4.82,0.01,112.88,79,-213.3544304,0.250073239,2500.732392,1
2019,2,6,15.05,6.41,7.88,121,79,-213.3544304,0.310502368,3.940385385,0
2019,2,7,14.73,9.34,5.52,224.12,79,-213.3544304,0.291776774,5.285811116,0
2019,2,8,12.09,6.9,0.37,205.06,79,-213.3544304,0.25271558,68.30150802,1
2019,2,9,11.54,7.14,8.32,247.69,79,-213.3544304,0.314053788,3.774684949,0
2019,2,10,9.87,6.77,11.3,227.25,79,-213.3544304,0.3386227,2.99666106,0
2019,2,11,11.62,6.59,4.36,268.12,79,-213.3544304,0.282767459,6.48549219,0
2019,2,12,11.14,5.8,0.01,112,79,-213.3544304,0.250073239,2500.732392,1
2019,2,13,12.28,5.25,0,120.81,79,0,0,0,0
